Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"квартал 30 В нежилой зоны ""Обухово"", ограниченный Дунайским пр., Софийским пр., Складским проездом и К",Фрунзенский,1501,20.11.2007,11.3,4113
4. Постановление Правительства СПб. об утверждении,"Территория производственной зоны Ржевка, ограниченная проектируемой магистралью, Ладожским направление",Красногвардейский,518,27.04.2010,483.2,4114
4. Постановление Правительства СПб. об утверждении,"ограниченная Карпатской ул., перспективной пробивкой Балканской ул., Софийской ул., Грузовым проездом",Фрунзенский,1007,12.08.2008,54.1,4120
4. Постановление Правительства СПб. об утверждении,"ограниченная Старорусской ул., 8-ой Советской ул., Кирилловской ул.",Центральный,852,15.08.2012,1.6,4124
4. Постановление Правительства СПб. об утверждении,квартал 9 района Шувалово-Озерки,Выборгский,1214,18.09.2007,18.3,4128
4. Постановление Правительства СПб. об утверждении,"квартал 24-27 района Полюстрово, ограниченный Полюстровским пр., пр. Маршала Блюхера и Лабораторным пр",Калининский,1713,25.12.2007,56.6,4129
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Косыгина, пр. Наставников, Ленской ул., Индустриальным пр.",Красногвардейский,609,26.05.2009,32.5,4130
4. Постановление Правительства СПб. об утверждении,"ограниченная 10-ой Красноармейской ул., Якобштатским пер., 11-ой Красноармейской ул., Лермонтовским пр",Адмиралтейский,1286,23.09.2010,3.6,4146
4. Постановление Правительства СПб. об утверждении," ограниченная Колпинским шоссе, дорогой № 1 в Детскосельский и Центральной ул.",Пушкинский,703,10.06.2008,42,4150
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный ул. Дыбенко, пр. Большевиков, ул. Шотмана и Искровским пр.",Невский,1196,18.09.2007,44.6,4157
4. Постановление Правительства СПб. об утверждении,"ограниченная Московским пр., Благодатной ул., Кузнецовской ул. и Варшавской ул.",Московский,865,17.07.2007,17.3,4158
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная дорогой на Александровку, Баболовским шоссе, ручьем до Таицкого (разр.) водов",Пушкинский,165,12.02.2008,292.8,4162
4. Постановление Правительства СПб. об утверждении,"квартал 6 района Шувалово-Озерки, ограниченный ул. Жени Егоровой, ул. Прокофьева, ул. Композиторов и п",Выборгский,1710,25.12.2007,44.1,4166
4. Постановление Правительства СПб. об утверждении,"ограниченная проектируемой трассой ЗСД, Яхтенной ул., Восточным каналом Юнтоловской дачи, береговой ли",Приморский,1761,21.12.2010,347.5,4168
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Стрельнинским шоссе, Геологической ул. и охранной зоной газораспределительной",Красносельский,214,26.02.2008,13.6,4169
4. Постановление Правительства СПб. об утверждении,"квартал 56 района Севернее Муринского ручья (СМР), ограниченного Лужской ул., ул. Руставели и пр. Луна",Калининский, 1498/1,02.11.2010,6.7,4170
4. Постановление Правительства СПб. об утверждении,территория производственной зоны на пересечении ЗСД и КАД в пос. Парголово,Выборгский,805,10.07.2007,171.9,4171
4. Постановление Правительства СПб. об утверждении,"Территория района Бадаевских складов, ограниченная Обводным каналом, Витебским направлением ж.д., Лиго",Московский,1663,07.12.2010,179.2,4172
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный ул. Димитрова, М. Бухарестской ул., Дунайским пр., Бухарестской ул.",Фрунзенский,1498,25.11.2008,50.1,4173
4. Постановление Правительства СПб. об утверждении,"Пос. Комарово, территория, ограниченная Кавалерийской ул., Большим пр., Горной ул. и ул. Лейтенантов",Курортный,36,15.01.2008,5.4,4177
4. Постановление Правительства СПб. об утверждении,"квартал 54 Северо-Приморской части (СПЧ), ограниченной Богатырским пр., Елагинским пр., Ситцевой ул., ",Приморский,375,15.04.2010,21.9,4180
4. Постановление Правительства СПб. об утверждении,"квартал 55 района Пороховые, ограниченный береговой линией р. Б.Охта, проектным продолжением пр. Ударн",Красногвардейский,44,18.01.2011,15.2,4181
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Зольной ул., подъездным путем ж.д. станции Дача Долгорукова - завод ""Баррикад",Невский,1495,25.11.2008,35.1,4189
4. Постановление Правительства СПб. об утверждении,"Территория кварталов 9А и 11Б, ограничкнная Феодосийской ул., Полюстровским пр., Пискаревским пр. и Св",Калининский,1522,02.12.2008,40.7,4193
4. Постановление Правительства СПб. об утверждении,"квартал 51 Северо-Приморской части (СПЧ), ограниченной Яхтенной ул., Камышовой ул., Елагинским пр., Бо",Приморский,1654,22.12.2008,17.3,4195
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный Херсонской ул., Исполкомской ул., Конной ул., и Перекупным пер.",Центральный,69,20.01.2009,2.9,4198
4. Постановление Правительства СПб. об утверждении,"ограниченного Малым пр. П.С., Ординарной ул., Большим пр. П.С.  и  ул. Плуталова",Петроградский,1429,11.11.2008,3.2,4203
4. Постановление Правительства СПб. об утверждении,"ограниченная Водопроводным пер., Смольной наб., Орловской ул., Таврическим пер., Таврической ул., Шпал",Центральный,500,29.04.2008,42.9,4208
4. Постановление Правительства СПб. об утверждении,"ограниченная ул.Шелгунова, ул.Седова,пр.Александровской Фермы,ул.Кибальчича, Белевским пр.",Невский,1315,11.12.2012,24,4223
4. Постановление Правительства СПб. об утверждении,"ограниченная Серебристым бульваром, Аэродромной ул.,Коломяжским пр.,ул.Генерала Хрулева",Приморский,670,26.06.2012,17.7,4224
4. Постановление Правительства СПб. об утверждении,"Кв. 36А г. Сестрорецка, ограниченный ул. Инструментальщиков, Транспортным пер. и Приморским шоссе",Курортный,210,26.02.2008,10.6,4228
4. Постановление Правительства СПб. об утверждении,"ограниченная проездом местного значения, 1-м Верхним пер., Верхней ул., 2-м Верхним пер. в промзоне ""П",Выборгский,299,23.03.2010,65.5,4239
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Энгельса, 8-м Верхним пер., пр. Культуры, 6-м Верхним пер.",Выборгский,334,24.03.2009,71.2,4242
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Маршала Жукова, Кронштадтской ул., дор. на Турухтанные острова",Кировский,1660,07.12.2010,10.7,4243
4. Постановление Правительства СПб. об утверждении,"Территория зоны влияния аэропорта ""Пулково"", ограниченная границей нежилой зоны ""Предпортовая-3"", с се",Московский,376,15.04.2010,1825.5,4253
4. Постановление Правительства СПб. об утверждении,"ограниченная Автобусной ул., ул. Маршала Новикова, Долгоозерной ул., Ново-Никитинской ул., Автобусным ",Приморский,750,23.06.2009,16.5,4256
4. Постановление Правительства СПб. об утверждении,"ограниченная Стародеревенской ул.,Мебельной ул.,Торфяной дорогой,Школьной ул.",Приморский,289,17.03.2009,25.3,4265
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Маршала Жукова, дорогой на Турухтанные острова, Кронштадтской ул., Портовой ул.",Кировский,1666,07.12.2010,29.8,4266
4. Постановление Правительства СПб. об утверждении,"квартала 12 района Шувалово-Озерки, ограниченного Выборгским шоссе, пр. Луначарского, пр. Энгельса",Выборгский,128,03.02.2009,43.7,4278
4. Постановление Правительства СПб. об утверждении,"Территория ""Марьино""",Петродворцовый,1671,07.12.2010,273.3,4279
