Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"квартал, ограниченный Приморским шоссе, Яхтенной ул., Школьной ул. и Туристской ул.",Приморский,703,19.06.2007,13.4,6056
4. Постановление Правительства СПб. об утверждении,"Территория квартала 46А района Севернее Муринского ручья (СМР), ограниченная ул. Брянцева, Тимуровской",Калининский,512,27.04.2010,17.8,6080
4. Постановление Правительства СПб. об утверждении,"квартала 41 района Южнее реки Волковки (ЮРВ), ограниченная ул. Ярослава Гашека, Бухарестской ул., ул. ",Фрунзенский,1263,17.08.2011,22.6,6082
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Сикейроса, ул. Есенина, Северным пр., пр. Энгельса",Выборгский,612,17.05.2011,23.2,6127
4. Постановление Правительства СПб. об утверждении,"ограниченная Рыбацким пр., проектируемым. проездом, береговой линией р. Невы и проектируемым проездом",Невский,301,23.03.2010,4.4,6153
4. Постановление Правительства СПб. об утверждении,"ограниченная Тбилисской ул., Солунской ул., проектируемой улицей, Коломяжским пр., проектируемым проез",Приморский,1285,23.09.2010,20.9,6155
4. Постановление Правительства СПб. об утверждении,"ограниченная Звенигородской ул., ул. Марата, Социалистической ул.. Боровой ул., ул. Константина Заслон",Центральный,1753,21.12.2010,10.1,6206
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Кленовой ул., Замковой ул., наб.р. Фонтанки, пл. Белинского",Центральный,1525,22.12.2009,2.6,6213
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Мебельной ул., проектируемым проездом, проектируемым продолжением Стародереве",Приморский,1294,11.11.2009,18.1,6247
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Академика Байкова, Светлановским пр., Северным пр. и Тихорецким пр.",Калининский,1284,23.09.2010,34.3,6325
4. Постановление Правительства СПб. об утверждении,"ограниченная Ириновским пр., ул. Коммуны, пр. Ударников, ул. Лазо",Красногвардейский,1664,07.12.2010,22.5,6329
4. Постановление Правительства СПб. об утверждении,"кв. 35 района пр. М.Тореза, ограниченный Светлановским пр., пр. М.Тореза, Институтским пр., 2-м Муринс",Выборгский,1602,16.12.2008,81.3,6333
4. Постановление Правительства СПб. о внес. изменений,"квартал 17Г района ""Ладожский вокзал и промзона Большой и Малой Охты"", ограниченный Уткиным пер., перс",Красногвардейский,24,24.01.2014,2.8,6352
4. Постановление Правительства СПб. об утверждении,"Квартал 17Г района ""Ладожский вокзал и промзона Большой и Малой Охты"", ограниченный Уткиным пр., персп",Красногвардейский,764,29.06.2009,2.8,6354
4. Постановление Правительства СПб. о внес. изменений,"квартал, ограниченный ул. Подвойского, Искровским пр., ул. Антонова-Овсеенко, Дальневосточным пр.",Невский,106,18.02.2014,20.2,6357
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Подвойского, Искровским пр., ул. Антонова-Овсеенко, Дальневосточным пр.",Невский,620,17.05.2010,20.2,6358
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Просвещения, ул. Ивана Фомина, Поэтическим бульваром, ул. Есенина",Выборгский,1008,27.07.2010,21.4,6363
4. Постановление Правительства СПб. об утверждении,"ограниченная ул.Шкапина, Библиотечным пер., включая пл.Балтийского вокзала, наб.Обводного кан., Митроф",Адмиралтейский,976,25.08.2009,32.4,6399
4. Постановление Правительства СПб. об утверждении,"ограниченная Лабораторной ул., пр. Маршала Блюхера, Кондратьевским пр., пр. Металлистов",Калининский,1267,17.08.2011,20.5,6406
4. Постановление Правительства СПб. об утверждении,"ограниченная наб. Обводного канала, Боровой ул., перспективной пробивкой Подъездного пер.",Фрунзенский,1078,10.08.2010,11.6,6420
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Дыбенко, административной границей Ленинградской области, ул. Крыленко, п",Невский,139,09.02.2010,65.4,6443
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Ольги Берггольц. ул. Бабушкина, ул. Ткачей, ул. Пинегина",Невский,1523,22.12.2009,9.3,6454
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Кантемировской ул., Лесным пр., ул. Александра Матросова, Выбогским направлен",Выборгский,141,09.02.2010,7,6456
4. Постановление Правительства СПб. об утверждении,"кв. 7В района БКА, ограниченного Серебристым бульваром, аллеей Поликарпова, Коломяжским пр. и пр. Испы",Приморский,216,26.02.2008,32.5,6491
4. Постановление Правительства СПб. об утверждении,"ограниченная Кушелевской дорогой, пр. Непокоренных, продолжением ул. Бутлерова, полосой отвода железно",Калининский,1316,11.12.2012,23.2,6506
4. Постановление Правительства СПб. об утверждении,"ограниченная Херсонской ул., ул. Александра Невского, Невским пр., Исполкомской ул.",Центральный,1667,07.12.2010,7.3,6512
4. Постановление Правительства СПб. об утверждении,"кв.21А, ограниченный пр. Маршала Блюхера, перспективным продолжением Арсенальной улицы",Калининский,124,06.02.2007,3,6513
4. Постановление Правительства СПб. об утверждении,"территория производственной зоны ""Шушары-2"", ограниченная Южным ж/д полукольцом, продолжением Софийско",Пушкинский,704,19.06.2007,1232,6514
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная 2-ой Боровой ул., проектируемыми проездами № 2 и № 3  в пос. Солнечное",Курортный,652,05.06.2007,37.1,6515
4. Постановление Правительства СПб. об утверждении,"территория производственной зоны ""Красносельская"", ограниченной Геологической ул., Гаражной ул., ул. Г",Красносельский,1474,13.11.2007,395.6,6516
4. Постановление Правительства СПб. об утверждении,"западной части Крестовского острова, ограниченная р. М. Невка, р. Ср. Невка, границей Приморского парк",Петроградский,250,04.03.2008,105.9,6517
4. Постановление Правительства СПб. о внес. изменений,"территория, ограниченная Московским пр., наб. Обводного кан., полосой отвода Балт. линии ОЖД  и Благод",Адмиралтейский,1265,17.08.2011,444.8,6519
4. Постановление Правительства СПб. о внес. изменений,"территория, ограниченная Московским пр., наб. Обводного кан., полосой отвода Балт. линии ОЖД  и Благод",Адмиралтейский,1054,09.08.2010,444.8,6522
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Московским пр., наб. Обводного кан., полосой отвода Балт. линии ОЖД  и Благод",Московский,864,17.07.2007,444.8,6524
4. Постановление Правительства СПб. об утверждении,"терр. огр. Северным пр., ул. Есенина, ул. Жака Дюкло и парком ""Сосновка""",Выборгский,1123,05.09.2006,30.9,6525
4. Постановление Правительства СПб. об утверждении,"кв.4019, пересечение Ушаковской наб. и наб. Черной речки",Приморский,2052,28.12.2005,21.6,6526
4. Постановление Правительства СПб. об утверждении,кв. 59А СПЧ,Приморский,1338,06.09.2005,23.1,6527
4. Постановление Правительства СПб. о внес. изменений,"территория, ограниченная ул. Шкапина, ул. Розенштейна, наб. Обводного канала и ж/д веткой",Адмиралтейский,611,17.05.2011,14.2,6528
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная ул. Шкапина, ул. Розенштейна, наб. Обводного канала и ж/д веткой",Адмиралтейский,153,13.02.2007,14.2,6529
4. Постановление Правительства СПб. об утверждении,кв.15 ЮЗПЧ,Красносельский,1766,21.11.2005,25,6530
4. Постановление Правительства СПб. об утверждении,район «Славянка»,Пушкинский,1091,26.07.2005,287.7,6531
4. Постановление Правительства СПб. об утверждении,"г. Пушкин, территория, ограниченная улицами Парковая, Гусарская, Саперная и Красносельским ш.",Пушкинский,597,16.05.2006,77.6,6533
4. Постановление Правительства СПб. об утверждении,кв.19А СУН,Невский,292,20.03.2007,25.1,6534
4. Постановление Правительства СПб. об утверждении,квартал 21-б района между Лесным пр. и Кондратьевским пр.,Калининский,361,03.04.2007,1.9,6535
4. Постановление Правительства СПб. об утверждении,"территория н/з ""Металлострой"", ограниченная Проездами № 3, 6, 7 и дорогой в Металлострой (кв.5)",Колпинский,1323,25.10.2006,49,6536
4. Постановление Правительства СПб. об утверждении,"территория в западной части Пушкина, ограниченная Петербургским шоссе, Варшавским направлением Окт. ж.",Пушкинский,711,07.06.2006,203.6,6537
4. Постановление Правительства СПб. об утверждении,"кв. 28 ЮРВ, огр. Пловдиевской ул, Загребским бульваром, Малой Каштановой ул. и Будапештской ул.",Фрунзенский,236,06.03.2007,10.4,6538
4. Постановление Правительства СПб. об утверждении,квартал 58 СПЧ,Приморский,621,29.05.2007,37.4,6539
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная р. Пулковкой, проектируемыми улицами № 1 и № 2 и проектным положением Ленингр",Пушкинский,650,05.06.2007,112.5,6540
4. Постановление Правительства СПб. об утверждении,"квартала 13-В района Коломяги, ограниченного Афонской ул., Главной ул., Мгинским пер. и 2-ой Утиной ул",Приморский,997,14.08.2007,3.7,6541
4. Постановление Правительства СПб. об утверждении,"квартал 3 нежилой зоны ""Парнас"", ограниченный Домостроительной ул.,  5-м Верхним, 2-м Верхним пер. и В",Выборгский,1581,04.12.2007,72.7,6543
4. Постановление Правительства СПб. об утверждении,"территория предприятия ""Бугры"" (участки 2, 5, 6, 14, 15, 16)",Калининский,237,06.03.2007,67.9,6544
4. Постановление Правительства СПб. об утверждении,кв. 56АБ СПЧ,Приморский,838,21.06.2005,40.5,6545
4. Постановление Правительства СПб. об утверждении,"Красноборская сторона с границами проектирования: Кубинская ул., Дунайский пр., 5-ый Предпрортовый про",Московский,244,07.03.2006,81.4,6546
4. Постановление Правительства СПб. об утверждении,"Стрельна,территория ""Нойдорф"", ограниченная границей с/х земель птицефабрики ""Ломоносовская"", границей",Петродворцовый,63,23.01.2007,86.1,6547
4. Постановление Правительства СПб. об утверждении,"квартал 9 Б БКА, ограниченный Парашютной ул., Коломяжским пр., аллеей Котельникова и площадью Мациевич",Приморский,1609,11.12.2007,12.7,6548
4. Постановление Правительства СПб. об утверждении,"ограниченная Песочной ул., границей садоводства, Ленинградской ул. и проектируемой магистралью",Пушкинский,1160,09.09.2008,0.8,6549
4. Постановление Правительства СПб. об утверждении,"ограниченная Серпуховской ул., Малодетскосельским пр., Подольской ул. и наб. Обводного канала",Адмиралтейский,1159,09.09.2008,1.6,6550
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Тельмана, проездом от ул. Тельмана до пр.Большевиков, пер. Челиева",Невский,1235,30.09.2008,23.2,6551
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная пр. Обуховской Обороны, базовой осью № 706 (дополнительной), проектируемой ма",Невский,1373,28.10.2008,11.7,6552
4. Постановление Правительства СПб. об утверждении,"Территория зоны портового комплекса в районе Бронки, ограниченная административной границей Санкт-Пете",Петродворцовый,1605,16.12.2008,205.1,6553
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Пулковским шоссе, Дунайским пр., Московским шоссе и Южным полукольцом Октябрь",Московский,556,12.05.2009,287.9,6554
4. Постановление Правительства СПб. о внес. изменений,"территории производственной зоны ""Шушары-2"", ограниченная Южным железнодорожным полукольцом, продолжен",Пушкинский,482,28.04.2009,1225.9,6555
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Полевой ул. (и ее продолжением), Садовой ул., полосой отвода железной дороги,",Пушкинский,975,25.08.2009,159.6,6557
4. Постановление Правительства СПб. об утверждении,"ограниченная Московским шоссе, границей отвода выскокскоростной магистрали, Колпинским шоссе, границей",Пушкинский,1078,22.09.2009,223.9,6559
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Лабутина, Климовым пер., наб. р. Фонтанки, Прядильным пер.",Адмиралтейский,1520,22.12.2009,1.8,6560
4. Постановление Правительства СПб. об утверждении,"Территория производственной зоны ""Северо-Западная""",Приморский,137,09.02.2010,137.9,6562
4. Постановление Правительства СПб. об утверждении,"Территория квартала 17-17А Гражданского пр., ограниченная Северным пр., ул.Карпинского, пр. Науки, ул.",Калининский,1003,13.07.2011,100.5,6563
4. Постановление Правительства СПб. об утверждении,"Территория квартала 17-17А Гражданского пр., ограниченная Северным пр., ул.Карпинского, пр. Науки, ул.",Калининский,1002,13.07.2011,100.5,6565
4. Постановление Правительства СПб. об утверждении,"Территория квартала 9 Западнее Варшавской ЖД, ограниченного Краснопутиловской ул., пл. Конституции, Ле",Московский,999,13.07.2011,19.7,6572
4. Постановление Правительства СПб. об утверждении,"Территория квартала 9 Западнее Варшавской ЖД, ограниченного Краснопутиловской ул., пл. Конституции, Ле",Московский,998,13.07.2011,19.7,6573
4. Постановление Правительства СПб. об утверждении,"Территория квартала 6 района Ульянка, ограниченного пр. Ветеранов, Дачным пр., пр. Народного Ополчения",Кировский,992,13.07.2011,56.9,6575
4. Постановление Правительства СПб. об утверждении,"Территория квартала 6 района Ульянка, ограниченного пр. Ветеранов, Дачным пр., пр. Народного Ополчения",Кировский,993,13.07.2011,56.9,6576
4. Постановление Правительства СПб. об утверждении,"Территория квартала 7-17 Сосновой Поляны, ограниченного пр. Ветеранов, ул. Пограничника Гарькавого, пр",Красносельский,997,13.07.2011,37.2,6578
4. Постановление Правительства СПб. об утверждении,"Территория квартала 7-17 Сосновой Поляны, ограниченного пр. Ветеранов, ул. Пограничника Гарькавого, пр",Красносельский,996,13.07.2011,37.2,6580
4. Постановление Правительства СПб. об утверждении,"Территория квартала 43 Полюстрово, ограниченного пр. Мечникова, Замшиной ул., Бестужевской ул., Кондра",Калининский,1021,13.07.2011,17.8,6582
4. Постановление Правительства СПб. об утверждении,"Территория квартала 43 Полюстрово, ограниченная пр. Мечникова, Замшиной ул., Бестужевской ул., Кондрат",Калининский,1020,13.07.2011,17.8,6585
4. Постановление Правительства СПб. об утверждении,"Территория квартала 10 г. Колпино, ограниченного пр. Ленина. ул.Губина, Павловской ул., ул.Танкистов",Колпинский,1007,13.07.2011,10.7,6588
4. Постановление Правительства СПб. об утверждении,"Территория квартала 10 г. Колпино, ограниченного пр. Ленина. ул.Губина, Павловской ул., ул.Танкистов",Колпинский,1006,13.07.2011,10.7,6589
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Фурштатской ул., пр. Чернышевского, Кирочной ул., Мелитопольским пер.",Центральный,1206,07.09.2010,1.7,6591
4. Постановление Правительства СПб. о внес. изменений,"Территория, ограниченная Парковой ул., Гусарской ул., Колокольным пер., Госпитальным пер.",Пушкинский,255,01.03.2011,6,6596
4. Постановление Правительства СПб. об утверждении,"Петровского острова, ограниченная береговой линией р. М.Невка, береговой линией р. ждановки, береговой",Петроградский,1264,17.08.2011,132.5,6605
4. Постановление Правительства СПб. об утверждении,"квартала 8 района Шувалово-Озерки, ограниченная пр. Просвещения, ул. Хошимина, ул. Композиторов",Выборгский,1261,17.08.2011,30.4,6614
4. Постановление Правительства СПб. об утверждении," ограниченная ул. Хошимина, пр. Просвещения, пр. Энгельса, ул. Асафьева, ул. Композиторов",Выборгский,1266,17.08.2011,45.7,6623
4. Постановление Правительства СПб. об утверждении," производственная зона ""Коломяги"", ограниченная Шуваловским пр., проектным продолжением Шуваловского п",Приморский,339,22.03.2011,199.8,6631
4. Постановление Правительства СПб. об утверждении,"Территория прохождения южн. части ЗСД, огран. пр. Маршала Говорова, границей тер зоны ТУ, соед. веткой",Кировский,983,13.07.2011,173.6,6659
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Пионерской ул., наб. Адмирала Лазарева, Малой Зелениной ул., межквартальным п",Петроградский,373,15.04.2010,3.5,6661
4. Постановление Правительства СПб. об утверждении,"квартала 23В района озеро Долгое, ограниченная  ул. Шаврова, пр. Королева, перспективным проездом межд",Приморский,1271,17.08.2011,6.9,6664
4. Постановление Правительства СПб. об утверждении,"ограниченная Народной ул., Дальневосточным пр., границей функциональной зоны ""3ЖД""  и  Октябрьской наб",Невский,741,07.06.2011,20.4,6667
4. Постановление Правительства СПб. об утверждении,"ограниченная Ириновским пр., Бокситогорской ул., Объездным шоссе, границей территориальной зоны  ""ТД1-",Красногвардейский,742,07.06.2011,9.8,6671
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Шахматова, Чебышевской ул., Ботанической ул., Университетским пр.",Петродворцовый,870,29.06.2010,19.1,6707
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Ильюшина, Гаккелевской ул., Камышовой ул., Стародеревенской ул.",Приморский,1003,27.07.2010,13.2,6711
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Новолитовской ул., Чугунной ул., Литовской ул. Грибалевой ул.",Выборгский,134,01.02.2011,7.4,6726
4. Постановление Правительства СПб. об утверждении,"ограниченная Московским пр., Мариинской ул. и ул. Решетникова",Московский,191,15.02.2011,3.3,6727
4. Постановление Правительства СПб. об утверждении,"ограниченная Репищевой ул., Эстонской ул., Новосельковской ул., ул. Щербакова",Приморский,190,15.02.2011,5.5,6729
4. Постановление Правительства СПб. об утверждении,"ограниченная Петергфоским шоссе, проектируемым проездом, береговой линией Финского залива, проектным п",Красносельский,254,01.03.2011,92.9,6732
4. Постановление Правительства СПб. об утверждении,"Территория Приморской ЮЗПЧ Санкт-Петербурга, западнее магистрали N 8",Красносельский,12,16.01.2007,156.8,6733
4. Постановление Правительства СПб. об утверждении," ограниченная ул. Коллонтай, Товарищеским пр., ул. Подвойского, пр. Большевиков",Невский,1260,17.08.2011,41.8,6736
4. Постановление Правительства СПб. об утверждении,"ограниченная Песочной наб., ул. Грота, ул. Профессоа Попова, ул. Даля",Петроградский,340,22.03.2011,3.3,6742
4. Постановление Правительства СПб. об утверждении," ограниченная Лагерным шоссе, Южной ул., проектируемыми проездами",Колпинский,1259,17.08.2011,34.2,6748
4. Постановление Правительства СПб. об утверждении,"Территория квартала 5 района Дачное, ограниченная Ленинским пр., пр. Народного Ополчения, Счастливой у",Кировский,990,13.07.2011,45.7,6757
4. Постановление Правительства СПб. об утверждении,"Территория квартала 5 района Дачное, ограниченная Ленинским пр., пр. Народного Ополчения, Счастливой у",Кировский,991,13.07.2011,44.8,6758
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная границей Курортного района, проектируемым проездом №1, продолжением Школьной ",Курортный,1023,13.07.2011,74.6,6763
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная границей Курортного района, проектируемым проездом №1, продолжением Школьной ",Курортный,1022,13.07.2011,74.6,6764
4. Постановление Правительства СПб. об утверждении,"Территория кварталов128,128А, 136 района Щемиловки, ограниченная пр. Обуховской Обороны, ул. Бабушкина",Невский,1008,13.07.2011,56.3,6765
4. Постановление Правительства СПб. об утверждении,"Территория кварталов128,128А, 136 района Щемиловки, ограниченная пр. Обуховской Обороны, ул. Бабушкина",Невский,1009,13.07.2011,56.3,6767
4. Постановление Правительства СПб. об утверждении,"Территория кварталов 7,8 и 9 района Автово, ограниченная Автоводской ул., ул. Примакова, ул. Червонног",Кировский,984,13.07.2011,34.3,6768
4. Постановление Правительства СПб. об утверждении,"Территория кварталов 7,8 и 9 района Автово, ограниченная Автоводской ул., ул. Примакова, ул. Червонног",Кировский,985,13.07.2011,33.5,6769
4. Постановление Правительства СПб. об утверждении,"Территория квартала восточнее Загородной ул., ограниченная Загородной ул., проектируемыми магистралями",Колпинский,986,13.07.2011,75.5,6772
4. Постановление Правительства СПб. об утверждении,"Территория квартала восточнее Загородной ул., ограниченная Загородной ул., проектируемыми магистралями",Колпинский,987,13.07.2011,74.4,6773
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Лиговским пр., Расстанной ул., Прилукской ул., Тамбовской ул.",Фрунзенский,1013,13.07.2011,7,6775
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Лиговским пр., Расстанной ул., Прилукской ул., Тамбовской ул.",Фрунзенский,1012,13.07.2011,7,6776
4. Постановление Правительства СПб. об утверждении,"Территория квартала 55 Тихорецкого пр., ограниченная Тихорецким пр., пр. Науки, ул. Обручевых, ул. Гид",Калининский,1015,13.07.2011,46.2,6777
4. Постановление Правительства СПб. об утверждении,"Территория квартала 55 Тихорецкого пр., ограниченная Тихорецким пр., пр. Науки, ул. Обручевых, ул. Гид",Калининский,1014,13.07.2011,46.2,6779
4. Постановление Правительства СПб. об утверждении,"Территория квартала 18 Восточнее Витебский ЖД, ограниченная ул. Белы Куна, Софийской ул., ул. Турку, П",Фрунзенский,1005,13.07.2011,79.9,6781
4. Постановление Правительства СПб. об утверждении,"Территория квартала 18 Восточнее Витебской ЖД, ограниченная ул. Белы Куна, Софийской ул., ул. Турку, П",Фрунзенский,1004,13.07.2011,79.9,6782
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Рябовским шоссе, полосой отвода Октябрьской ЖД, перспективным проездом, Камыш",Красногвардейский,1011,13.07.2011,26.9,6783
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Рябовским шоссе, полосой отвода Октябрьской ЖД, перспективным проездом, Камыш",Красногвардейский,1010,13.07.2011,26.9,6784
4. Постановление Правительства СПб. об утверждении,"Территория квартала 13-14-16 Западнее Варшавской ЖД, ограниченная Краснопутиловской ул., Варшавской ул",Московский,1000,13.07.2011,73.6,6786
4. Постановление Правительства СПб. об утверждении,"Территория квартала 13-14-16 Западнее Варшавской ЖД, ограниченная Краснопутиловской ул., Варшавской ул",Московский,1001,13.07.2011,73.6,6787
4. Постановление Правительства СПб. об утверждении,"Территория квартала 7-10 Западнее Варшавской ЖД, ограниченная Бассейной ул., Новоизмайловским пр., пл.",Московский,995,13.07.2011,58.3,6789
4. Постановление Правительства СПб. об утверждении,"Территория квартала 7-10 Западнее Варшавской ЖД, ограниченная Бассейной ул., Новоизмайловским пр., пл.",Московский,994,13.07.2011,58.3,6790
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Зины Портновой, Ленинским пр., бульваром Новаторов и внутриквартальным проездом",Кировский,1269,17.08.2011,5.3,6796
4. Постановление Правительства СПб. об утверждении,"нежилая зона ""Предпортовая"", огран. проектным положением    7-ого Предпортового проезда и соед. веткой",Московский,608,17.05.2011,12,6798
4. Постановление Правительства СПб. об утверждении,"ограниченная Полтавским проездом, Миргородской ул., Кременчугской ул., Атаманской ул., наб. Обводного ",Центральный,533,29.05.2012,40.5,6802
4. Постановление Правительства СПб. об утверждении,"Территория квартала 16 Малой Охты, ограниченная Уткиным пр., пр. Энергетиков, пл. Карла Фаберже, Занев",Красногвардейский,1016,13.07.2011,9.9,6815
4. Постановление Правительства СПб. об утверждении,"Территория квартала 16 Малой Охты, ограниченная Уткиным пр., пр. Энергетиков, пл. Карла Фаберже, Занев",Красногвардейский,1017,13.07.2011,9.9,6816
4. Постановление Правительства СПб. об утверждении,"ограниченная Нижней дорогой, границей дворцово-паркового ансамбля ""Знаменская дача"" (Знаменка), Санкт-",Петродворцовый,1262,17.08.2011,27.5,6818
4. Постановление Правительства СПб. об утверждении,"ограниченная шоссе Революции, Индустриальным пр., береговой линией р. Охты, створом Уманского пер.",Красногвардейский,39,28.01.2014,16.3,6821
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Энтузиастов, Индустриальным пр., пр. Косыгина, ул. Передовиков",Красногвардейский,1273,17.08.2011,24.6,6822
4. Постановление Правительства СПб. о внес. изменений," ограниченная проектируемыми проездами, Дунайским пр. и Московским шоссе",Московский,962,11.12.2013,116.1,6823
4. Постановление Правительства СПб. об утверждении,"ограниченная Байконурской ул., Богатырским пр., пр. Сизова, Туполевской ул., в Приморском районе",Приморский,205,25.03.2014,8.49,6940
4. Постановление Правительства СПб. об утверждении,"ограниченная  Елисеевской ул., Малой Десятинной ул., Афанасьевской ул., проектируемой улицей",Приморский,204,25.03.2014,20.65,6942
4. Постановление Правительства СПб. об утверждении,"ограниченная пр.Ленина, ул.Коммуны, ул.Павловской, ул.Карла Маркса в г.Колпино",Колпинский,203,25.03.2014,4.07,6943
4. Постановление Правительства СПб. об утверждении," ограниченная Фаянсовой ул., Хрустальной ул., ул.Книпович, ул.2-й Луч",Невский,202,25.03.2014,3.8,6944
4. Постановление Правительства СПб. о внес. изменений,"ограниченная  ул.Маршала Новикова, проектным продолжением Шуваловского пр., Репищевой ул., Новосельков",Приморский,255,10.04.2014,11.6,10168
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Финляндской ул., ул.Коммуны, пр.Ленина, ул.Карла Маркса",Колпинский,320,29.04.2014,4.28,10525
4. Постановление Правительства СПб. об утверждении,"Терр. огр. 2-м Бадаевским проездом, ул Ленина, 3-м Бадаевским проездом, проектируемым проездом,",Пушкинский,321,29.04.2014,19.2,10530
4. Постановление Правительства СПб. об утверждении,"Терр. огр. ул. Олеко Дундича,  Купчинской ул., Малой Балканскойул.,",Фрунзенский,322,29.04.2014,19.8,10533
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Лагерным шоссе, Понтонной ул., Понтонным проездом, береговой линией р.М.Ижорк",Колпинский,324,29.04.2014,29.4,10540
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Ульяновской ул., ул.Первого Мая, границей базисного квартала 19321Б, полосой отвода ж.д., О",Петродворцовый,323,29.04.2014,165.4,10552
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Рябовским шоссе, ул. Коммуны, береговой линией р.Лубьи, границей функциональн",Красногвардейский,325,29.04.2014,20.2,10574
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Барклаевской ул., границей базисного квартала 7527 , полосой отвода ж/д , Заставской ул., Ц",Московский,461,04.06.2014,15.5,10708
4. Постановление Правительства СПб. об утверждении,"Терр. огр. ул. Тамбасова, пр. Ветеранов, ул. Пограничника Гарькавого, Новобелицкой ул.,",Красносельский,524,23.06.2014,42.2,10762
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Ленина, ул. Свободы, Кингисеппским шоссе, Гаражной ул., ул. Голубко,",Красносельский,523,23.06.2014,47.8,10764
4. Распоряжение МинТранса об утверждении,территории зон планируемого размещения объектов капитального строительства федерального значения много,Петродворцовый, АД-239-р,20.06.2014,220.5,10798
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. Благодатной ул, Варшавской ул, ул.№24, перспективной  пробивкой  Измайловского пр.",Московский,691,30.07.2014,10,13033
4. Постановление Правительства СПб. об утверждении,"Терр. огр.  Большим Смоленским пр., ул Бабушкина, ул. Ольминского, ул.Пинегина",Невский,690,30.07.2014,7.3,13034
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. Северным пр., ул. Есенина, Лиственной ул., ул.Жака Дюкло, парком ""Сосновка""",Выборгский,688,30.07.2014,33.4,13035
4. Постановление Правительства СПб. об утверждении,"Терр. квартала 74Б ""Каменка"", ограниченного Глухарской ул., проектным продолжением пр.Авиаконструкторо",Приморский,689,30.07.2014,16.2,13038
4. Постановление Правительства СПб. об утверждении,Терр. огр. в планируемых границах искусственного земельного участка в Невской Губе Финского залива (Ба,Петроградский,692,30.07.2014,16.61,13170
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Шуваловским пр., Парашютной ул., проектируемыми проездами,",Приморский,698,12.08.2014,76,13179
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Пискаревским пр.,Муринским ручьем , административной границей  Санкт-Петербурга, береговой ",Красногвардейский,811,03.09.2014,551.5,13269
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Волхонским ш, Пулковским ш, Рехколовским ш., административной границей с Ленинградской обла",Пушкинский,855,09.09.2014,75.3,13270
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Загородной ул., Колпинской ул., ул. Севастьянова, проектируемым проездом  в г. Колпино",Колпинский,856,09.09.2014,53,13271
4. Распоряжение МинТранса об утверждении,"Терр. огр. объекта ""Строительство скоростной автомобильной дороги Москва-Санкт-Петербург""",Московский, 972-р,20.05.2014,294.4,13361
4. Распоряжение МинТранса об утверждении,"Терр. огр. объекта ""Строительство скоростной автомобильной дороги Москва-Санкт-Петербург""",Московский, 1086-р,04.06.2014,294.4,13362
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Коломяжским пр.,проектируемым проездом №1,проектируемым проездом №2, проспектом Испытателей",Приморский,928,07.10.2014,36.6,13377
